-0.700	3.700
-0.700	3.750
-0.700	4.100
-0.650	3.750
-0.650	3.800
-0.650	4.100
-0.650	4.150
-0.600	3.350
-0.600	3.800
-0.600	3.850
-0.600	4.150
-0.600	4.200
-0.550	3.400
-0.550	3.450
-0.550	3.850
-0.550	3.900
-0.550	4.200
-0.500	3.450
-0.500	3.500
-0.500	3.900
-0.500	4.250
-0.500	4.450
-0.500	4.600
-0.450	3.550
-0.450	3.600
-0.450	3.950
-0.450	4.250
-0.450	4.300
-0.450	4.600
-0.450	4.650
-0.400	3.600
-0.400	3.650
-0.400	4.000
-0.400	4.300
-0.400	4.650
-0.350	3.150
-0.350	3.650
-0.350	3.700
-0.350	4.050
-0.350	4.300
-0.350	4.350
-0.350	4.650
-0.350	4.700
-0.300	3.200
-0.300	3.250
-0.300	3.700
-0.300	3.750
-0.300	4.050
-0.300	4.100
-0.300	4.350
-0.300	4.400
-0.300	4.700
-0.250	3.250
-0.250	3.300
-0.250	3.350
-0.250	3.750
-0.250	3.800
-0.250	4.100
-0.250	4.150
-0.250	4.400
-0.250	4.700
-0.200	3.350
-0.200	3.400
-0.200	3.850
-0.200	3.900
-0.200	4.150
-0.200	4.200
-0.200	4.400
-0.200	4.450
-0.200	4.750
-0.150	3.450
-0.150	3.500
-0.150	3.900
-0.150	3.950
-0.150	4.200
-0.150	4.450
-0.150	4.500
-0.150	4.750
-0.150	4.800
-0.100	3.550
-0.100	3.600
-0.100	3.950
-0.100	4.000
-0.100	4.250
-0.100	4.500
-0.100	4.800
-0.050	3.650
-0.050	3.700
-0.050	4.000
-0.050	4.050
-0.050	4.250
-0.050	4.300
-0.050	4.550
0.000	3.700
0.000	3.750
0.000	4.050
0.000	4.100
0.000	4.300
0.000	4.350
0.050	3.800
0.050	3.850
0.050	4.100
0.050	4.150
0.100	3.850
0.100	3.900
0.150	3.950
0.150	4.000
0.200	4.000
0.350	0.850
0.400	0.800
0.400	0.850
0.450	0.800
0.500	0.800
0.500	3.650
0.550	0.750
0.550	0.800
0.600	0.700
0.600	0.750
0.650	0.750
0.700	0.700
0.700	0.750
0.750	0.700
0.800	0.650
0.800	0.700
0.850	0.650
0.850	0.700
0.900	0.650
0.900	0.700
0.950	0.650
0.950	0.700
1.000	0.650
1.050	0.650
1.100	0.650
1.150	0.600
1.150	0.650
1.200	0.600
1.250	0.600
1.300	0.600
1.350	0.550
1.350	0.600
1.400	0.550
1.450	0.550
1.500	0.500
1.500	0.550
1.550	0.500
1.550	0.550
1.600	0.500
1.600	0.550
1.650	0.500
1.700	0.250
1.700	0.300
1.700	0.500
1.750	0.250
1.750	0.500
1.800	0.200
1.800	0.250
1.800	0.500
1.850	0.150
1.850	0.200
1.850	0.250
1.850	0.450
1.850	0.500
1.900	0.050
1.900	0.100
1.900	0.150
1.900	0.200
1.900	0.250
1.900	0.400
1.900	0.450
1.950	0.050
1.950	0.100
1.950	0.150
1.950	0.300
1.950	0.400
1.950	0.450
2.000	0.000
2.000	0.050
2.000	0.100
2.000	0.300
2.000	0.450
2.050	0.000
2.050	0.050
2.050	0.100
2.050	0.300
2.050	0.350
2.050	0.450
2.100	-0.050
2.100	0.000
2.100	0.050
2.100	0.350
2.100	0.400
2.100	0.450
2.150	-0.050
2.150	0.000
2.150	0.050
2.150	0.100
2.150	0.150
2.150	0.400
2.200	-0.100
2.200	-0.050
2.200	0.000
2.200	0.250
2.200	0.300
2.250	-0.100
2.250	-0.050
2.250	0.000
2.300	-0.100
2.300	-0.050
2.300	0.450
2.300	0.500
2.300	0.550
2.350	-0.150
2.350	-0.100
2.350	-0.050
2.350	0.300
2.350	0.350
2.350	0.400
2.350	0.450
2.350	0.550
2.400	-0.150
2.400	-0.100
2.400	0.700
2.450	-0.200
2.450	-0.150
2.450	-0.100
2.450	0.650
2.450	0.700
2.500	-0.200
2.500	-0.150
2.500	0.600
2.500	0.650
2.500	1.100
2.550	-0.250
2.550	-0.200
2.550	-0.150
2.550	0.600
2.550	0.900
2.600	-0.250
2.600	-0.200
2.600	0.550
2.600	0.600
2.600	0.850
2.600	0.900
2.650	-0.300
2.650	-0.250
2.650	-0.200
2.650	0.850
2.700	-0.300
2.700	-0.250
2.700	0.850
2.750	-0.350
2.750	-0.300
2.750	-0.250
2.750	0.850
2.750	0.900
2.800	-0.700
2.800	-0.350
2.800	-0.300
2.800	0.900
2.800	0.950
2.850	-0.350
2.850	0.950
2.850	1.000
2.900	-1.050
2.900	-1.000
2.900	-0.400
2.900	-0.350
2.900	0.950
2.900	1.000
2.950	-1.050
2.950	-0.400
2.950	0.950
3.000	-1.150
3.000	-0.450
3.000	-0.400
3.000	0.950
3.050	-1.200
3.050	-1.150
3.050	-0.450
3.050	-0.400
3.050	0.950
3.100	-1.200
3.100	-1.150
3.100	-0.450
3.100	1.000
3.150	-1.150
3.150	-0.500
3.150	-0.450
3.200	-1.150
3.200	-0.500
3.250	-1.150
3.250	-1.100
3.250	-0.600
3.250	-0.550
3.300	-1.100
3.300	-0.950
3.300	-0.800
3.350	-1.100
3.350	-1.050
3.350	-0.950
3.350	-0.900
3.350	-0.800
3.400	-1.050
3.400	-0.900
3.400	-0.800
3.400	-0.750
3.400	-0.450
3.450	-1.050
3.450	-0.900
3.450	-0.850
3.450	-0.750
3.450	-0.550
3.450	-0.500
3.450	-0.250
3.500	-1.050
3.500	-1.000
3.500	-0.850
3.500	-0.800
3.500	-0.750
3.500	-0.250
3.550	-1.000
3.550	-0.850
3.550	-0.800
3.550	-0.750
3.550	-0.250
3.550	-0.200
3.600	-1.000
3.600	-0.950
3.600	-0.200
3.650	-0.950
3.650	-0.200
3.650	-0.150
3.700	-0.950
3.700	-0.200
3.700	-0.150
3.750	-0.150
3.800	-0.150
3.800	-0.100
3.850	-0.150
3.850	-0.100
3.900	-0.100
3.950	-0.100
3.950	-0.050
4.000	-0.100
4.000	-0.050
4.050	-0.050
4.100	-0.050
4.150	-0.050
4.750	0.950
4.800	0.950
4.850	0.950
4.900	0.950
4.950	0.950
