0.00	0.00	0.00	340282346638528859811704183484516925440.00	340282346638528859811704183484516925440.00	340282346638528859811704183484516925440.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
-5.00	-0.00	0.14	0.00	0.00	0.00	0.00	-0.00	0.52	0.00	0.00	0.00	0.00	
-5.00	0.00	0.14	-5.00	-0.00	0.14	0.00	-0.00	0.52	0.00	0.00	0.00	0.00	
-4.99	0.00	0.14	-5.00	0.00	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.99	0.01	0.14	-4.99	0.00	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.98	0.01	0.14	-4.99	0.01	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.97	0.02	0.14	-4.98	0.01	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.96	0.02	0.14	-4.97	0.02	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.95	0.03	0.14	-4.96	0.02	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.94	0.03	0.14	-4.95	0.03	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.94	0.04	0.14	-4.94	0.03	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.93	0.04	0.14	-4.94	0.04	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.92	0.05	0.14	-4.93	0.04	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.91	0.05	0.14	-4.92	0.05	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.90	0.06	0.14	-4.91	0.05	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.89	0.06	0.14	-4.90	0.06	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.88	0.07	0.14	-4.89	0.06	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.88	0.07	0.14	-4.88	0.07	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.87	0.08	0.14	-4.88	0.07	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.86	0.08	0.14	-4.87	0.08	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.85	0.08	0.14	-4.86	0.08	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.84	0.09	0.14	-4.85	0.08	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.83	0.09	0.14	-4.84	0.09	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.83	0.10	0.14	-4.83	0.09	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.82	0.10	0.14	-4.83	0.10	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.81	0.11	0.14	-4.82	0.10	0.14	0.00	-0.00	0.51	0.00	0.00	0.00	0.00	
-4.80	0.11	0.14	-4.81	0.11	0.14	0.00	-0.00	0.50	0.00	0.00	0.00	0.00	
-4.79	0.12	0.14	-4.80	0.11	0.14	0.00	-0.00	0.49	0.00	0.00	0.00	0.00	
-4.78	0.12	0.14	-4.79	0.12	0.14	0.00	-0.00	0.48	0.00	0.00	0.00	0.00	
-4.77	0.13	0.14	-4.78	0.12	0.14	0.00	-0.00	0.48	0.00	0.00	0.00	0.00	
-4.77	0.13	0.14	-4.77	0.13	0.14	0.00	-0.00	0.48	0.00	0.00	0.00	0.00	
-4.76	0.14	0.14	-4.77	0.13	0.14	0.00	-0.00	0.48	0.00	0.00	0.00	0.00	
