-4.300	2.850	2
-4.250	2.850	4
-4.200	2.850	8
-4.150	2.850	9
-4.100	2.850	14
-4.050	2.400	20
-4.050	2.450	68
-4.050	2.500	30
-4.050	2.550	7
-4.050	2.850	26
-4.000	2.400	114
-4.000	2.850	40
-3.950	2.400	101
-3.950	2.850	5
-3.900	2.400	102
-3.850	2.400	92
-3.800	2.400	11
-3.800	2.450	28
-3.650	2.850	22
-3.600	2.850	113
-3.550	0.900	784
-3.550	0.950	656
-3.550	1.000	603
-3.550	1.050	556
-3.550	1.100	502
-3.550	1.150	455
-3.550	1.200	426
-3.550	1.250	392
-3.550	1.300	359
-3.550	1.350	336
-3.550	1.400	310
-3.550	1.450	293
-3.550	1.500	271
-3.550	1.550	260
-3.550	1.600	233
-3.550	1.650	224
-3.550	1.700	204
-3.550	1.750	197
-3.550	1.800	181
-3.550	1.850	173
-3.550	1.900	155
-3.550	1.950	151
-3.550	2.000	133
-3.550	2.050	128
-3.550	2.100	122
-3.550	2.150	115
-3.550	2.200	101
-3.550	2.250	103
-3.550	2.300	90
-3.550	2.350	90
-3.550	2.400	85
-3.550	2.450	82
-3.550	2.500	81
-3.550	2.550	78
-3.550	2.600	77
-3.550	2.650	70
-3.550	2.700	68
-3.550	2.750	68
-3.550	2.800	63
-3.550	2.850	63
-3.500	0.900	617
-3.450	0.900	592
-3.400	-0.950	15
-3.400	0.900	545
-3.350	-0.950	138
-3.350	0.900	531
-3.300	-0.950	207
-3.300	0.900	518
-3.250	-0.950	272
-3.250	0.900	462
-3.200	-0.950	329
-3.200	0.900	476
-3.150	-0.950	439
-3.150	0.900	429
-3.100	-0.950	494
-3.100	0.900	371
-3.050	-0.950	578
-3.050	0.900	391
-3.000	-0.950	696
-3.000	0.900	357
-2.950	-0.950	749
-2.950	0.900	314
-2.900	-0.950	805
-2.900	0.900	310
-2.850	-0.950	823
-2.850	0.900	285
-2.800	-0.950	877
-2.800	0.900	432
-2.750	-0.950	889
-2.750	0.900	70
-2.700	-5.000	1
-2.700	-0.950	449
-2.700	0.900	240
-2.650	-5.000	1
-2.650	0.900	234
-2.600	-5.000	8
-2.600	0.900	217
-2.550	-5.000	14
-2.550	0.900	217
-2.500	-5.000	22
-2.500	0.900	196
-2.450	-5.000	28
-2.450	0.900	191
-2.400	-5.000	39
-2.400	-2.700	12
-2.400	0.900	184
-2.350	-5.000	61
-2.350	-2.700	35
-2.350	0.900	178
-2.300	-5.000	82
-2.300	-2.700	55
-2.300	0.900	167
-2.250	-5.000	101
-2.250	-2.700	74
-2.250	0.900	159
-2.200	-5.000	150
-2.200	-2.700	92
-2.200	0.900	152
-2.150	-5.000	178
-2.150	-2.700	113
-2.150	0.900	144
-2.100	-5.000	222
-2.100	-2.700	123
-2.100	0.900	144
-2.050	-5.000	262
-2.050	-2.700	137
-2.050	0.900	130
-2.000	-5.000	290
-2.000	-2.700	151
-2.000	0.900	138
-1.950	-5.000	353
-1.950	-2.700	178
-1.950	0.900	268
-1.900	-5.000	262
-1.900	-2.700	70
-1.900	0.900	60
-1.850	-5.000	381
-1.850	0.900	67
-1.800	-5.050	775
-1.800	-5.000	394
-1.800	0.900	114
-1.750	-5.050	683
-1.750	0.900	100
-1.700	-5.050	615
-1.700	0.900	110
-1.650	-5.050	661
-1.650	0.900	92
-1.600	-5.050	689
-1.600	0.900	101
-1.550	-5.050	724
-1.550	0.900	89
-1.500	-5.050	754
-1.500	0.900	91
-1.450	-5.050	790
-1.450	0.900	87
-1.400	-5.050	814
-1.400	0.900	94
-1.350	-5.050	876
-1.350	0.900	94
-1.300	-5.050	908
-1.300	0.900	74
-1.250	-5.050	961
-1.250	0.900	10
-1.200	-5.050	976
-1.150	-5.050	1025
-1.100	-5.050	958
-1.050	-5.050	1112
-1.000	-5.100	1137
-1.000	-5.050	369
-0.950	-5.100	1293
-0.900	-5.100	1268
-0.850	-5.100	1293
-0.800	-5.100	1360
-0.750	-5.100	1374
-0.700	-5.100	1402
-0.650	-5.100	1427
-0.600	-5.100	1434
-0.550	-5.100	1453
-0.500	-5.100	1452
-0.450	-5.100	1489
-0.400	-5.100	1451
-0.350	-5.100	1444
-0.300	-5.100	1435
-0.250	-5.100	1367
-0.200	-5.100	1325
-0.150	-5.100	1195
-0.100	-5.100	1239
-0.050	-5.100	1224
-0.050	-1.550	2
-0.050	-1.500	36
-0.050	-1.450	1
-0.050	-1.400	37
-0.050	-1.350	1
-0.050	-1.300	3
-0.050	-1.250	38
-0.050	-1.200	38
-0.050	-1.150	2
-0.050	-1.100	1
-0.050	-1.050	36
-0.050	-1.000	6
-0.050	-0.950	18
-0.050	-0.900	44
-0.050	-0.850	49
-0.050	-0.800	78
-0.050	-0.750	20
-0.050	-0.700	14
-0.050	-0.650	9
-0.050	-0.600	11
-0.050	-0.550	45
-0.050	-0.500	10
-0.050	-0.450	8
-0.050	-0.400	48
-0.050	-0.350	47
-0.050	-0.300	12
-0.050	-0.250	9
-0.050	-0.200	32
-0.050	-0.150	3
-0.050	-0.100	6
-0.050	-0.050	4
-0.050	0.000	3
-0.050	0.050	5
-0.050	0.100	3
-0.050	0.150	3
-0.050	0.200	3
-0.050	0.250	10
-0.050	0.300	15
-0.050	0.350	48
-0.050	0.400	39
-0.050	0.450	42
-0.050	0.500	3
0.000	-5.100	1209
0.000	-2.150	1
0.000	-2.100	6
0.000	-2.050	7
0.000	-2.000	19
0.000	-1.950	4
0.000	-1.900	38
0.000	-1.850	37
0.000	-1.750	2
0.000	-1.700	2
0.000	-1.650	37
0.000	-1.600	2
0.000	-1.550	1
0.050	-5.100	1149
0.100	-5.100	1106
0.150	-5.100	1083
0.200	-5.100	1067
0.250	-5.100	1052
0.300	-5.100	1026
0.350	-5.100	1006
0.400	-5.100	973
0.450	-5.100	939
0.500	-5.100	974
0.550	-5.100	874
0.600	-5.100	386
0.600	-5.050	850
0.650	-5.050	796
0.700	-5.050	852
0.750	-5.050	814
0.800	-5.050	825
0.850	-5.050	877
0.900	-5.050	797
0.950	-5.050	788
1.000	-5.050	803
1.050	-5.050	793
1.100	-5.050	731
1.150	-5.050	749
1.200	-5.050	721
1.250	-5.050	694
1.300	-5.050	791
1.350	-5.050	631
1.400	-5.050	469
1.400	-5.000	823
1.450	-5.000	400
1.500	-5.000	653
1.550	-5.000	617
1.600	-5.000	605
1.650	-5.000	582
1.700	-5.000	584
1.750	-5.000	606
1.750	-4.050	540
1.750	-4.000	702
1.750	-3.950	167
1.800	-5.000	560
1.800	-3.950	535
1.800	-3.900	708
1.800	-3.850	737
1.800	-3.800	682
1.850	-5.000	561
1.850	-3.800	20
1.850	-3.750	698
1.850	-3.700	751
1.850	-3.650	723
1.850	-3.600	524
1.900	-5.000	551
1.900	-3.600	210
1.900	-3.550	739
1.900	-3.500	739
1.900	-3.450	732
1.900	-3.400	330
1.950	-5.000	537
1.950	-3.400	394
1.950	-3.350	745
1.950	-3.300	158
2.000	-5.000	528
2.000	-3.350	228
2.050	-5.000	528
2.050	-3.350	199
2.100	-5.000	492
2.100	-3.350	243
2.150	-5.000	501
2.150	-3.400	80
2.150	-3.350	26
2.200	-5.000	455
2.200	-3.400	175
2.200	2.850	2
2.250	-5.000	467
2.250	-3.400	227
2.250	2.850	12
2.300	-5.000	454
2.300	-3.450	41
2.300	-3.400	132
2.300	2.850	10
